name,path,version,source,expected_sha256,observed_sha256,hash_match,license,terms,modification,delivery,required_notices,status
sensevoice-small-int8,models/sensevoice-small-int8/model.int8.onnx,registry in v0.1.4,https://huggingface.co/csukuangfj/sherpa-onnx-sense-voice-zh-en-ja-ko-yue-2024-07-17/resolve/main/model.int8.onnx,c71f0ce00bec95b07744e116345e33d8cbbe08cef896382cf907bf4b51a2cd51,c71f0ce00bec95b07744e116345e33d8cbbe08cef896382cf907bf4b51a2cd51,True,original model card: other / FunASR MODEL_LICENSE v1.1; exact conversion lineage pending,https://github.com/modelscope/FunASR/blob/main/MODEL_LICENSE,converted/quantized upstream model,B,retain model attribution and actual conversion notices,待核实
sensevoice-small-int8,models/sensevoice-small-int8/tokens.txt,registry in v0.1.4,https://huggingface.co/csukuangfj/sherpa-onnx-sense-voice-zh-en-ja-ko-yue-2024-07-17/resolve/main/tokens.txt,f449eb28dc567533d7fa59be34e2abca8784f771850c78a47fb731a31429a1dc,f449eb28dc567533d7fa59be34e2abca8784f771850c78a47fb731a31429a1dc,True,original model card: other / FunASR MODEL_LICENSE v1.1; exact conversion lineage pending,https://github.com/modelscope/FunASR/blob/main/MODEL_LICENSE,converted/quantized upstream model,B,retain model attribution and actual conversion notices,待核实
parakeet-tdt-0.6b-v2-int8,models/parakeet-tdt-0.6b-v2-int8/encoder.int8.onnx,registry in v0.1.4,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-parakeet-tdt-0.6b-v2-int8/resolve/main/encoder.int8.onnx,a32b12d17bbbc309d0686fbbcc2987b5e9b8333a7da83fa6b089f0a2acd651ab,not-local-or-not-compared,not-verified,CC-BY-4.0 in original and conversion cards; attribution pending,https://huggingface.co/nvidia/parakeet-tdt-0.6b-v2,converted/quantized upstream model,B,retain model attribution and actual conversion notices,待核实
parakeet-tdt-0.6b-v2-int8,models/parakeet-tdt-0.6b-v2-int8/decoder.int8.onnx,registry in v0.1.4,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-parakeet-tdt-0.6b-v2-int8/resolve/main/decoder.int8.onnx,b6bb64963457237b900e496ee9994b59294526439fbcc1fecf705b31a15c6b4e,not-local-or-not-compared,not-verified,CC-BY-4.0 in original and conversion cards; attribution pending,https://huggingface.co/nvidia/parakeet-tdt-0.6b-v2,converted/quantized upstream model,B,retain model attribution and actual conversion notices,待核实
parakeet-tdt-0.6b-v2-int8,models/parakeet-tdt-0.6b-v2-int8/joiner.int8.onnx,registry in v0.1.4,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-parakeet-tdt-0.6b-v2-int8/resolve/main/joiner.int8.onnx,7946164367946e7f9f29a122407c3252b680dbae9a51343eb2488d057c3c43d2,not-local-or-not-compared,not-verified,CC-BY-4.0 in original and conversion cards; attribution pending,https://huggingface.co/nvidia/parakeet-tdt-0.6b-v2,converted/quantized upstream model,B,retain model attribution and actual conversion notices,待核实
parakeet-tdt-0.6b-v2-int8,models/parakeet-tdt-0.6b-v2-int8/tokens.txt,registry in v0.1.4,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-parakeet-tdt-0.6b-v2-int8/resolve/main/tokens.txt,ec182b70dd42113aff6c5372c75cac58c952443eb22322f57bbd7f53977d497d,not-local-or-not-compared,not-verified,CC-BY-4.0 in original and conversion cards; attribution pending,https://huggingface.co/nvidia/parakeet-tdt-0.6b-v2,converted/quantized upstream model,B,retain model attribution and actual conversion notices,待核实
silero_vad.onnx,models/silero_vad.onnx,registry in v0.1.4,https://github.com/k2-fsa/sherpa-onnx/releases/download/asr-models/silero_vad.onnx,9e2449e1087496d8d4caba907f23e0bd3f78d91fa552479bb9c23ac09cbb1fd6,9e2449e1087496d8d4caba907f23e0bd3f78d91fa552479bb9c23ac09cbb1fd6,True,pending exact artifact license; v3/v4 reference MIT not a byte match,https://github.com/snakers4/silero-vad,download matches sherpa release; original revision unresolved,B,obtain original revision and applicable license,待核实
sherpa-onnx-pyannote-segmentation-3-0.tar.bz2,models/speaker-diarization/sherpa-onnx-pyannote-segmentation-3-0/model.int8.onnx,registry in v0.1.4,https://github.com/k2-fsa/sherpa-onnx/releases/download/speaker-segmentation-models/sherpa-onnx-pyannote-segmentation-3-0.tar.bz2,24615ee884c897d9d2ba09bb4d30da6bb1b15e685065962db5b02e76e4996488,not-local-or-not-compared,not-verified,MIT (license within converted archive),https://huggingface.co/pyannote/segmentation-3.0,converted ONNX / quantized; archive hash is not model-file hash,B,retain converted package LICENSE; gated original access separate,待核实
3dspeaker_speech_eres2net_base_sv_zh-cn_3dspeaker_16k.onnx,models/speaker-diarization/3dspeaker_speech_eres2net_base_sv_zh-cn_3dspeaker_16k.onnx,registry in v0.1.4,https://github.com/k2-fsa/sherpa-onnx/releases/download/speaker-recongition-models/3dspeaker_speech_eres2net_base_sv_zh-cn_3dspeaker_16k.onnx,1a331345f04805badbb495c775a6ddffcdd1a732567d5ec8b3d5749e3c7a5e4b,1a331345f04805badbb495c775a6ddffcdd1a732567d5ec8b3d5749e3c7a5e4b,True,3D-Speaker source Apache-2.0; exact checkpoint terms pending,https://github.com/modelscope/3D-Speaker,converted ONNX / quantized; archive hash is not model-file hash,B,retain checkpoint attribution; verify original checkpoint version,待核实
3dspeaker_speech_campplus_sv_zh-cn_16k-common.onnx,models/speaker-diarization/3dspeaker_speech_campplus_sv_zh-cn_16k-common.onnx,registry in v0.1.4,https://github.com/k2-fsa/sherpa-onnx/releases/download/speaker-recongition-models/3dspeaker_speech_campplus_sv_zh-cn_16k-common.onnx,f682b514c05d947ee3fa91cd6ec6c5c7543479a128373fa29b1faedccd21fd11,f682b514c05d947ee3fa91cd6ec6c5c7543479a128373fa29b1faedccd21fd11,True,3D-Speaker source Apache-2.0; exact checkpoint terms pending,https://github.com/modelscope/3D-Speaker,converted ONNX / quantized; archive hash is not model-file hash,B,retain checkpoint attribution; verify original checkpoint version,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_0.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_0.npy,aafef0d0a6cc648db71b0e387bc39ed1341c96fb82426471833cc7349f214d48,aafef0d0a6cc648db71b0e387bc39ed1341c96fb82426471833cc7349f214d48,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_1.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_1.npy,f8e4e0e5a6a9dca7c3a442ceea4aec7ea5c579f35b59dc2c6ebdfc274f34f919,f8e4e0e5a6a9dca7c3a442ceea4aec7ea5c579f35b59dc2c6ebdfc274f34f919,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_10.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_10.npy,ad2becf21a2ef469396a4b339ac39076e45975b63b3a199ae0a9605823ce6f67,ad2becf21a2ef469396a4b339ac39076e45975b63b3a199ae0a9605823ce6f67,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_11.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_11.npy,c6eacf74ee1b1ebd41dc43844e92feac880faf4532eb748a74e9101307d0f60e,c6eacf74ee1b1ebd41dc43844e92feac880faf4532eb748a74e9101307d0f60e,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_12.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_12.npy,b07e7e1a02a31768d9ea389bcbee634ba827291d02ff565e3fd971e8e3e47c5a,b07e7e1a02a31768d9ea389bcbee634ba827291d02ff565e3fd971e8e3e47c5a,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_13.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_13.npy,0d723b8b83e913a981ad78e2c5557de3fd3fdd87b8afdedfcf3a4b5424db4fcc,0d723b8b83e913a981ad78e2c5557de3fd3fdd87b8afdedfcf3a4b5424db4fcc,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_14.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_14.npy,2462199f6a16ad20112e2774f87aa8a3c0f77154f15161ed7f500c3e4f79eb52,2462199f6a16ad20112e2774f87aa8a3c0f77154f15161ed7f500c3e4f79eb52,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_15.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_15.npy,3c999ce7a2a04a35de2b63968ae53534dc3f321ef51aedae15540c35ff5f5ffe,3c999ce7a2a04a35de2b63968ae53534dc3f321ef51aedae15540c35ff5f5ffe,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_2.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_2.npy,adf231d37841e7706fa14302632ccecdd69d4c777daf65a89beeef1f121b4b18,adf231d37841e7706fa14302632ccecdd69d4c777daf65a89beeef1f121b4b18,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_3.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_3.npy,e9ba1f656deac2da01d9420e5195f01307fefd208ee51c1b913b48b6697aec87,e9ba1f656deac2da01d9420e5195f01307fefd208ee51c1b913b48b6697aec87,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_4.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_4.npy,b97f6cc0893ad659ac0d5326a3813b9e2b38f2a6d5e79ae0a3f51835f8b2139f,b97f6cc0893ad659ac0d5326a3813b9e2b38f2a6d5e79ae0a3f51835f8b2139f,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_5.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_5.npy,724acf66a6993cabbe7ec57a0a92ee16580958a91a2e93bcd8ba599a725d09bd,724acf66a6993cabbe7ec57a0a92ee16580958a91a2e93bcd8ba599a725d09bd,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_6.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_6.npy,e6ef7d8bd9e11b9eec8acbf87f2fd33766b74b427906559e5a6f1ab641e45965,e6ef7d8bd9e11b9eec8acbf87f2fd33766b74b427906559e5a6f1ab641e45965,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_7.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_7.npy,6e8e8e534e7cbfe65c16f1f8596ff7243f0d47877b10f0aafc213c47a12b99b0,6e8e8e534e7cbfe65c16f1f8596ff7243f0d47877b10f0aafc213c47a12b99b0,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_8.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_8.npy,df8f799f349127c42c964530e9dbe273ddb0c312ef8ceae3ce59cd16b65b1430,df8f799f349127c42c964530e9dbe273ddb0c312ef8ceae3ce59cd16b65b1430,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/codec_embedding_9.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/codec_embedding_9.npy,29b338bb3ec296cda0825f1ccdfe67a155096bfe64e19a974df2be5ad5f748e2,29b338bb3ec296cda0825f1ccdfe67a155096bfe64e19a974df2be5ad5f748e2,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/proj_bias.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/proj_bias.npy,4227ddf557b534d8c12b4a7b39737e09f4357ae982978689bcd09767d313882b,4227ddf557b534d8c12b4a7b39737e09f4357ae982978689bcd09767d313882b,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/proj_weight.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/proj_weight.npy,942c5572578d5f787cced310ba2a666712981dc5da648a7e9e741136875917f4,942c5572578d5f787cced310ba2a666712981dc5da648a7e9e741136875917f4,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/embeddings/text_embedding_projected.npy,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/embeddings/text_embedding_projected.npy,ada5f0bcfa05552ec3300258451fc4f42604102c7c2c8ec9e7cd80aac4916af2,ada5f0bcfa05552ec3300258451fc4f42604102c7c2c8ec9e7cd80aac4916af2,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/qwen3_tts_decoder.fp16.onnx,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/qwen3_tts_decoder.fp16.onnx,1e1519430222887c87a6389d42ec4a6bfda2582b525d2fedbf2d7fed3573f487,1e1519430222887c87a6389d42ec4a6bfda2582b525d2fedbf2d7fed3573f487,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/qwen3_tts_predictor.q8_0.gguf,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/qwen3_tts_predictor.q8_0.gguf,42c89bdea05c42afa5ea8f5d97ece0d7e62114416ab4262c8524531688c890c0,42c89bdea05c42afa5ea8f5d97ece0d7e62114416ab4262c8524531688c890c0,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/qwen3_tts_talker.q5_k.gguf,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/qwen3_tts_talker.q5_k.gguf,04532771e2ee7217cf267dd4d7ab6f08bc36e1e15772c18a40c58aa9330e8728,04532771e2ee7217cf267dd4d7ab6f08bc36e1e15772c18a40c58aa9330e8728,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/README_RUNTIME_PACK.md,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/README_RUNTIME_PACK.md,180f91f62e36ef3bfc629a59008e8dce26b5a255fec70dfa31856e4cd2dca391,a964c4c6282d7e99cf25d3dd063cc5385d1e10649fd3f49ecbb630c16291f4d4,False,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CustomVoice runtime export,model-custom/tokenizer.json,20260507,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-1.7b-customvoice-gguf-runtime/resolve/master/model-custom/tokenizer.json,09267689b8362020b9763b65dd5be7e086b31e28d72e02837a9e781de9a91bc7,09267689b8362020b9763b65dd5be7e086b31e28d72e02837a9e781de9a91bc7,True,upstream card Apache-2.0; exact original checkpoint lineage incomplete,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,GGUF/ONNX conversion and quantization; not byte-identical original weights,B,add model source/license information to downloadable package,待核实
CUDA add-on cublas64_12.dll,inference/bin/cublas64_12.dll,b7798 / CUDA 12.4,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-cuda-runtime/resolve/master/win-x64/cuda-runtime-b7798-win-cuda-12.4-x64.zip,e40202fe4223c1cd2d2dce7beec59e1ed61c7801bd827309183be9b50e358f4c,not-local-or-not-compared,not-verified,NVIDIA CUDA 12.4 EULA,https://docs.nvidia.com/cuda/archive/12.4.0/eula/index.html,binary in separately hosted archive; not changed in this task,B,review distribution conditions and retained third-party notices,待核实
CUDA add-on cublasLt64_12.dll,inference/bin/cublasLt64_12.dll,b7798 / CUDA 12.4,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-cuda-runtime/resolve/master/win-x64/cuda-runtime-b7798-win-cuda-12.4-x64.zip,2a896460bef60ed57ef32b0875812f355a6984e671d638bb632f5e8c1d7a831f,not-local-or-not-compared,not-verified,NVIDIA CUDA 12.4 EULA,https://docs.nvidia.com/cuda/archive/12.4.0/eula/index.html,binary in separately hosted archive; not changed in this task,B,review distribution conditions and retained third-party notices,待核实
CUDA add-on cudart64_12.dll,inference/bin/cudart64_12.dll,b7798 / CUDA 12.4,https://modelscope.cn/models/gtree592/bashi-qwen3-tts-cuda-runtime/resolve/master/win-x64/cuda-runtime-b7798-win-cuda-12.4-x64.zip,d28e42265da7462162a54da6b7a99ea4fa2caf8139d862bb500db875d0b32dfc,not-local-or-not-compared,not-verified,NVIDIA CUDA 12.4 EULA,https://docs.nvidia.com/cuda/archive/12.4.0/eula/index.html,binary in separately hosted archive; not changed in this task,B,review distribution conditions and retained third-party notices,待核实
