name,observed_version,requested_version,request_matches,role,delivery,artifact,metadata_sha256,source,license_metadata,license_files,modification,required_notices,status
accelerate,1.12.0,accelerate==1.12.0,True,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/accelerate,31d880e2aa1eaffb50dfecb62bc81d53f0262ed19ff374e7ff7a76b41b87c6b8,https://pypi.org/pypi/accelerate/1.12.0/json,License :: OSI Approved :: Apache Software License,accelerate-1.12.0.dist-info/licenses/LICENSE sha256=c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
aiohappyeyeballs,2.6.1,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/aiohappyeyeballs,3525e5849c007e2dfcd1e123028ec14383ff4d56a5f718b4aa4c995a26ccb153,https://pypi.org/pypi/aiohappyeyeballs/2.6.1/json,License :: OSI Approved :: Python Software Foundation License,aiohappyeyeballs-2.6.1.dist-info/LICENSE sha256=3b2f81fe21d181c499c59a256c8e1968455d6689d269aa85373bfb6af41da3bf,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
aiohttp,3.13.3,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/aiohttp,09044e6424ad868f9e6fbc62148b80ce3df426eba9114fe31e96031621bf1e13,https://pypi.org/pypi/aiohttp/3.13.3/json,Apache-2.0 AND MIT,aiohttp-3.13.3.dist-info/licenses/LICENSE.txt sha256=c1493e9f10d59d1fba9f9df28008e1557e33cf9fbac8ce1263aa3393982803de; aiohttp-3.13.3.dist-info/licenses/vendor/llhttp/LICENSE sha256=6ddfa628db76d2d87b8968bafbad60f51c4ec88100dd7bb96f97216d88af0808,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
aiosignal,1.4.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/aiosignal,09247ef1da8bc696728d47130e702e4307f6f7d101d6c485bff9f3a71ce7008d,https://pypi.org/pypi/aiosignal/1.4.0/json,License :: OSI Approved :: Apache Software License,aiosignal-1.4.0.dist-info/licenses/LICENSE sha256=6fd5243e92dd7f98ec69c7ac377728e74905709ff527a5bf98d6d0263c04f5b6,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
annotated-doc,0.0.4,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/annotated-doc,22b9b9289b9adf7758daa28a02327e3a129a5415487f01467a3fdd49edd9d535,https://pypi.org/pypi/annotated-doc/0.0.4/json,MIT,annotated_doc-0.0.4.dist-info/licenses/LICENSE sha256=fff170779a6acbf65abdb405c087f1cee1786691e4a96a4034517e4a504a0cdf,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
annotated-types,0.7.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/annotated-types,ee5b6ac64b09274c026051813484025939564067801f485115d9cadc207cf791,https://pypi.org/pypi/annotated-types/0.7.0/json,License :: OSI Approved :: MIT License,annotated_types-0.7.0.dist-info/licenses/LICENSE sha256=fe1049884b1a0d9342901e88e07f32925d24b3121d9972b6a6805fb9824b095d,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
anyio,4.13.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/anyio,1741187e23e5993470989376264b4dc4983518d9e5d301e1cce5a6cfba45be33,https://pypi.org/pypi/anyio/4.13.0/json,MIT,anyio-4.13.0.dist-info/licenses/LICENSE sha256=5361ac9dc58f2ef5fd2e9b09c68297c17f04950909bbc8023bdb82eacf22c2b0,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
attrs,25.4.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/attrs,d917abc63eda81c311c62c1d92dea50b682ea870269062821f5de75962bb6684,https://pypi.org/pypi/attrs/25.4.0/json,MIT,attrs-25.4.0.dist-info/licenses/LICENSE sha256=882115c95dfc2af1eeb6714f8ec6d5cbcabf667caff8729f42420da63f714e9f,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
audioread,3.1.0,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/audioread,fb8bd8b902ba9ba56d0f9b11caf031819b12fd5d1c59815e3776598d291f6846,https://pypi.org/pypi/audioread/3.1.0/json,MIT,audioread-3.1.0.dist-info/licenses/LICENSE sha256=e00fff68a75a582132842e33426730699255986f1dec362252f7423db027019d,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
blinker,1.9.0,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/blinker,b8846233cc238db1e40ad6c2c93bdcb54dfb200664d2411ee64c4095dd5dbf30,https://pypi.org/pypi/blinker/1.9.0/json,License :: OSI Approved :: MIT License,blinker-1.9.0.dist-info/LICENSE.txt sha256=9eb73a1f38597a4aa17025d2ae1be3839624c795e985d4f0e9769ce29faca467,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
