path,sha256,workspace_equal,speaker,preset,language,text,declared_size,actual_size,origin,generation_settings,delivery,status
bashi-privacy-app/static/audio/style_previews/aiden/briefing.mp3,4260616e81559d8c2e45a2b8455c5f28705f4f232038d964fde2ec47cae7e2d3,True,aiden,briefing,en,"Good morning, welcome to today's episode number three.",28173,28173,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/aiden/classic_recitation.mp3,d91610e6f7972779f112c134a80bf2c2218ea4fc834a2761837688c5de2becf8,True,aiden,classic_recitation,en,"Good morning, welcome to today's episode number three.",33837,33837,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/aiden/clear_slow_reading.mp3,503203a67c1e5e77171140ef7beef99f8e51fd37f3be7474edec86484eadbecc,True,aiden,clear_slow_reading,en,"Good morning, welcome to today's episode number three.",43509,43509,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/aiden/language_class.mp3,427194356114b4fdfa2e1358dd383ca4e8580c40406120da35d53e5da15d6504,True,aiden,language_class,en,"Good morning, welcome to today's episode number three.",59085,59085,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/aiden/standard_reading.mp3,7da3975e5c394b25e4bea601412e0dfe6da09feea55bc38afe274cb361cb7e22,True,aiden,standard_reading,en,"Good morning, welcome to today's episode number three.",35469,35469,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/dylan/briefing.mp3,6222d045e227db91f5a11ff7a6e6bfc17a57a32a5f76d510329eb8bd4c4e1cda,True,dylan,briefing,zh,早上好，欢迎收听今天第 3 期播报。,28053,28053,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/dylan/classic_recitation.mp3,d71abf6ae53988233619a3db49ef2beccd83cc1b59410ae6169cf298c08ad973,True,dylan,classic_recitation,zh,早上好，欢迎收听今天第 3 期播报。,33261,33261,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/dylan/clear_slow_reading.mp3,871dc0c08f95ea1296081acff97376ae288df9d05bf202c5796036901cb3ebc9,True,dylan,clear_slow_reading,zh,早上好，欢迎收听今天第 3 期播报。,42477,42477,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/dylan/language_class.mp3,9dba3c48e49b776a634b800ea7022773e419a6876f0b855680e48cc03d9b732b,True,dylan,language_class,zh,早上好，欢迎收听今天第 3 期播报。,47589,47589,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/dylan/standard_reading.mp3,e4c4f5f72cfacf59846aae3a33a7648157d2f5484593d814296bfa718d902946,True,dylan,standard_reading,zh,早上好，欢迎收听今天第 3 期播报。,31773,31773,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/eric/briefing.mp3,dcae7ead417a738a9e949b41c151f2904b1da49f7a40ed1dbbcd3a10eb301070,True,eric,briefing,zh,早上好，欢迎收听今天第 3 期播报。,26901,26901,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/eric/classic_recitation.mp3,28b2b1da65f5196065ee0811780dd961352212efe7e1707e080fb3b5e161deba,True,eric,classic_recitation,zh,早上好，欢迎收听今天第 3 期播报。,32949,32949,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/eric/clear_slow_reading.mp3,62da4c32b162d5bc8550067ccbc1511f70edb62360ce1d06fe6644b900964c5c,True,eric,clear_slow_reading,zh,早上好，欢迎收听今天第 3 期播报。,37197,37197,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/eric/language_class.mp3,29a9b55e5c23e599615c3d4ea3b3ae1d45d60bb591f3bc4b4642ce94af5486ed,True,eric,language_class,zh,早上好，欢迎收听今天第 3 期播报。,31149,31149,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/eric/standard_reading.mp3,e08e13fec217598256128f6cf8eb8f3fb9d893aad8d4a82ab32820ea7df6bea9,True,eric,standard_reading,zh,早上好，欢迎收听今天第 3 期播报。,28269,28269,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/ono_anna/briefing.mp3,1d0cab759dcea7b92d4cc24fc8f7102cd0912fa030e895fae4d1b188d37d1be7,True,ono_anna,briefing,ja,おはようございます。今日は第3回の放送へようこそ。,45573,45573,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/ono_anna/classic_recitation.mp3,cb32bf62e5fbd1e7828f726117413f972b28e0d9c7ae02b163beefa66ae94f19,True,ono_anna,classic_recitation,ja,おはようございます。今日は第3回の放送へようこそ。,40221,40221,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/ono_anna/clear_slow_reading.mp3,f701d625e6813da40f0967a44c43890c825873f21fcb2f3c72c0ef349162681c,True,ono_anna,clear_slow_reading,ja,おはようございます。今日は第3回の放送へようこそ。,40749,40749,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/ono_anna/language_class.mp3,2cf3ec66ffd4e1765c02ff7f8747a63afc761aa267280e91033bc81b41a4156d,True,ono_anna,language_class,ja,おはようございます。今日は第3回の放送へようこそ。,63405,63405,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/ono_anna/standard_reading.mp3,2baeb4975694a52fdac0ce8d2101dd3fa73a12f75a524d166698b4af291b702e,True,ono_anna,standard_reading,ja,おはようございます。今日は第3回の放送へようこそ。,37773,37773,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/ryan/briefing.mp3,5ffa0d5ba55e7420a5b7738dc640519a7ec2b1e9e018eb0bc07a8f2920218f44,True,ryan,briefing,en,"Good morning, welcome to today's episode number three.",35205,35205,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/ryan/classic_recitation.mp3,df5f5c1b5f34e3ef6c111cede7215f8912f9df4858be3e1283001fe2a86e3da4,True,ryan,classic_recitation,en,"Good morning, welcome to today's episode number three.",46389,46389,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/ryan/clear_slow_reading.mp3,4c1579a61e4a961352196de644e0b90946413966a012edb0c2c3749dd759f12d,True,ryan,clear_slow_reading,en,"Good morning, welcome to today's episode number three.",58869,58869,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/ryan/language_class.mp3,5dfbeeecdf7e95b3cfb9a479e675b55beb5d984810bd1e2f8f02384e282de263,True,ryan,language_class,en,"Good morning, welcome to today's episode number three.",72381,72381,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/ryan/standard_reading.mp3,d4c4960904489e3f4f2a5c59f4341b820ed2949fbebee12ddf3b2bf25faf1e05,True,ryan,standard_reading,en,"Good morning, welcome to today's episode number three.",63453,63453,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
bashi-privacy-app/static/audio/style_previews/serena/briefing.mp3,7e60dbc5d6d281cec2d8e8f5431eef5fac2ac512c505e42c1eee5be8aa00b64d,True,serena,briefing,zh,早上好，欢迎收听今天第 3 期播报。,27501,27501,maintainer-confirmed CustomVoice generated,exact seed and model/runtime hash not recorded in bundled manifest,A,待核实
